Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Username__c
0030U00000oJwCJQA0,,,0010U00000zqsK9QAI,Karr,Reema,,Reema Karr,174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",(555) 937-5145,,(555) 480-7710,(555) 818-6304,,,,reema.karr@example.com,,,,Web,1988-10-13,,0050U000002fKJPQA2,2020-03-12T23:06:22.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:22.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:22.000+0000,,,,2020-03-12T23:06:23.000+0000,2020-03-12T23:06:23.000+0000,,,,/services/images/photo/0030U00000oJwCJQA0,,,Pending,,admin630@electron.demo
0030U00000oJwAcQAK,,,0010U00000zqsINQAY,Flad,Shelby,,Shelby Flad,30303 SE Lusted Rd,Gresham,OR,97080,USA,,,,"{""city"":""Gresham"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97080"",""state"":""OR"",""street"":""30303 SE Lusted Rd""}",30303 SE Lusted Rd,Gresham,OR,97080,USA,,,,"{""city"":""Gresham"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97080"",""state"":""OR"",""street"":""30303 SE Lusted Rd""}",(555) 335-7687,,(555) 297-7123,(555) 487-3952,,,,shelby.flad@example.com,,,,Phone Inquiry,1959-12-02,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAcQAK,,,Pending,,
0030U00000oJwAdQAK,,,0010U00000zqsIOQAY,Mortimer,Karan,,Karan Mortimer,111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",(555) 868-5803,,(555) 516-8179,(555) 185-2944,,,,karan.mortimer@example.com,,,,Web,1993-12-08,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAdQAK,,,Pending,,
0030U00000oJwAeQAK,,,0010U00000zqsIPQAY,Aines,Noelia,,Noelia Aines,5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",(555) 714-9674,,(555) 184-9846,(555) 849-7633,,,,noelia.aines@example.com,,,,Other,1977-04-24,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAeQAK,,,Pending,,
0030U00000oJwAfQAK,,,0010U00000zqsIQQAY,Ifft,Cherlyn,,Cherlyn Ifft,551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",(555) 368-1842,,(555) 577-2680,(555) 487-5575,,,,cherlyn.ifft@example.com,,,,Web,2000-04-21,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAfQAK,,,Pending,,
0030U00000oJwAgQAK,,,0010U00000zqsIRQAY,Inabinett,Jazmin,,Jazmin Inabinett,307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",307 Bentley Manor,Shavano Park,TX,78249,USA,,,,"{""city"":""Shavano Park"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78249"",""state"":""TX"",""street"":""307 Bentley Manor""}",(555) 601-3576,,(555) 444-4511,(555) 899-5330,,,,jazmin.inabinett@example.com,,,,Phone Inquiry,1998-10-26,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAgQAK,,,Pending,,
0030U00000oJwAhQAK,,,0010U00000zqsISQAY,Schipper,Yasuko,,Yasuko Schipper,3392 North Huron Road,Tawas City,MI,48763,USA,,,,"{""city"":""Tawas City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""48763"",""state"":""MI"",""street"":""3392 North Huron Road""}",3392 North Huron Road,Tawas City,MI,48763,USA,,,,"{""city"":""Tawas City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""48763"",""state"":""MI"",""street"":""3392 North Huron Road""}",(555) 692-6218,,(555) 276-6850,(555) 486-2606,,,,yasuko.schipper@example.com,,,,Phone Inquiry,2006-03-03,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAhQAK,,,Pending,,
0030U00000oJwAiQAK,,,0010U00000zqsITQAY,Deahl,Josphine,,Josphine Deahl,6 Morningview Cir,Lake Oswego,OR,97035,USA,,,,"{""city"":""Lake Oswego"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97035"",""state"":""OR"",""street"":""6 Morningview Cir""}",6 Morningview Cir,Lake Oswego,OR,97035,USA,,,,"{""city"":""Lake Oswego"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97035"",""state"":""OR"",""street"":""6 Morningview Cir""}",(555) 342-5128,,(555) 573-3221,(555) 435-3444,,,,josphine.deahl@example.com,,,,Other,1962-10-11,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAiQAK,,,Pending,,
0030U00000oJwAjQAK,,,0010U00000zqsIUQAY,Parenteau,Marvis,,Marvis Parenteau,658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",(555) 578-9293,,(555) 477-7091,(555) 367-7329,,,,marvis.parenteau@example.com,,,,Partner Referral,1967-12-25,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAjQAK,,,Pending,,
0030U00000oJwAkQAK,,,0010U00000zqsIVQAY,Losinski,Chanell,,Chanell Losinski,500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",(555) 327-4986,,(555) 888-2058,(555) 267-1274,,,,chanell.losinski@example.com,,,,Partner Referral,1978-10-02,,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,0050U000002fKJPQA2,2020-03-12T23:06:09.000+0000,,,,2020-03-12T23:06:09.000+0000,2020-03-12T23:06:09.000+0000,,,,/services/images/photo/0030U00000oJwAkQAK,,,Pending,,
